position,text,audio,vision,n_samples,text_rate,audio_rate,vision_rate
0,0.0,0.0,0.0,4850,0.0,0.0,0.0
1,4850.0,4845.0,4537.0,4850,1.0,0.9989690721649485,0.9354639175257732
2,4830.0,4825.0,4520.0,4850,0.9958762886597938,0.9948453608247423,0.931958762886598
3,4821.0,4816.0,4517.0,4850,0.994020618556701,0.9929896907216494,0.931340206185567
4,4805.0,4800.0,4495.0,4850,0.9907216494845361,0.9896907216494846,0.9268041237113402
5,4765.0,4760.0,4456.0,4850,0.9824742268041237,0.9814432989690721,0.9187628865979381
6,4707.0,4702.0,4404.0,4850,0.9705154639175257,0.9694845360824742,0.908041237113402
7,4613.0,4608.0,4321.0,4850,0.9511340206185567,0.9501030927835051,0.8909278350515464
8,4510.0,4505.0,4241.0,4850,0.9298969072164949,0.9288659793814433,0.8744329896907217
9,4401.0,4396.0,4139.0,4850,0.9074226804123712,0.9063917525773196,0.8534020618556701
10,4268.0,4264.0,4020.0,4850,0.88,0.8791752577319588,0.8288659793814434
11,4160.0,4156.0,3916.0,4850,0.8577319587628865,0.8569072164948454,0.8074226804123711
12,4040.0,4036.0,3809.0,4850,0.8329896907216495,0.8321649484536082,0.7853608247422681
13,3884.0,3880.0,3657.0,4850,0.8008247422680412,0.8,0.754020618556701
14,3705.0,3701.0,3485.0,4850,0.7639175257731958,0.7630927835051546,0.7185567010309278
15,3519.0,3515.0,3314.0,4850,0.7255670103092784,0.7247422680412371,0.6832989690721649
16,3340.0,3336.0,3135.0,4850,0.688659793814433,0.6878350515463918,0.6463917525773196
17,3167.0,3163.0,2984.0,4850,0.6529896907216495,0.6521649484536083,0.6152577319587629
18,2991.0,2989.0,2816.0,4850,0.616701030927835,0.6162886597938144,0.5806185567010309
19,2797.0,2795.0,2637.0,4850,0.5767010309278351,0.5762886597938144,0.5437113402061856
20,2604.0,2602.0,2466.0,4850,0.5369072164948454,0.5364948453608247,0.5084536082474227
21,2454.0,2452.0,2322.0,4850,0.505979381443299,0.5055670103092783,0.47876288659793814
22,2286.0,2284.0,2176.0,4850,0.471340206185567,0.4709278350515464,0.448659793814433
23,2135.0,2134.0,2028.0,4850,0.4402061855670103,0.44,0.4181443298969072
24,1978.0,1977.0,1886.0,4850,0.40783505154639177,0.4076288659793814,0.3888659793814433
25,1835.0,1834.0,1753.0,4850,0.3783505154639175,0.3781443298969072,0.3614432989690722
26,1695.0,1694.0,1616.0,4850,0.3494845360824742,0.3492783505154639,0.3331958762886598
27,1571.0,1570.0,1504.0,4850,0.3239175257731959,0.3237113402061856,0.3101030927835052
28,1467.0,1466.0,1408.0,4850,0.3024742268041237,0.3022680412371134,0.29030927835051545
29,1357.0,1356.0,1299.0,4850,0.2797938144329897,0.2795876288659794,0.26783505154639176
30,1244.0,1243.0,1191.0,4850,0.25649484536082473,0.25628865979381443,0.24556701030927836
31,1162.0,1161.0,1116.0,4850,0.23958762886597937,0.23938144329896907,0.23010309278350516
32,1086.0,1085.0,1045.0,4850,0.22391752577319587,0.22371134020618558,0.2154639175257732
33,994.0,993.0,959.0,4850,0.20494845360824743,0.2047422680412371,0.1977319587628866
34,905.0,904.0,869.0,4850,0.1865979381443299,0.18639175257731957,0.17917525773195878
35,842.0,841.0,808.0,4850,0.1736082474226804,0.17340206185567011,0.1665979381443299
36,790.0,789.0,756.0,4850,0.16288659793814433,0.162680412371134,0.1558762886597938
37,739.0,738.0,707.0,4850,0.15237113402061855,0.15216494845360826,0.14577319587628865
38,693.0,692.0,661.0,4850,0.14288659793814432,0.14268041237113402,0.13628865979381444
39,630.0,629.0,602.0,4850,0.12989690721649486,0.12969072164948453,0.12412371134020618
40,594.0,593.0,566.0,4850,0.12247422680412372,0.1222680412371134,0.11670103092783506
41,565.0,564.0,544.0,4850,0.11649484536082474,0.11628865979381443,0.11216494845360825
42,539.0,538.0,520.0,4850,0.1111340206185567,0.1109278350515464,0.10721649484536082
43,503.0,502.0,481.0,4850,0.10371134020618557,0.10350515463917526,0.09917525773195876
44,477.0,476.0,453.0,4850,0.09835051546391753,0.09814432989690722,0.0934020618556701
45,445.0,444.0,422.0,4850,0.09175257731958762,0.09154639175257732,0.08701030927835052
46,413.0,412.0,395.0,4850,0.08515463917525773,0.08494845360824742,0.08144329896907217
47,381.0,381.0,363.0,4850,0.07855670103092784,0.07855670103092784,0.07484536082474227
48,352.0,352.0,337.0,4850,0.07257731958762886,0.07257731958762886,0.06948453608247422
49,0.0,0.0,0.0,4850,0.0,0.0,0.0
